LSOA21CD,LSOA21NM,LSOA21NMW,Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Decile (where 1 is most deprived 10% of LSOAs),,,,,,,,,,,,,,,,,,,,,Indoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Outdoors Sub-domain Score,Outdoors Sub-domain Rank (where 1 is most deprived),Outdoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Total population: mid 2015 (excluding prisoners),Dependent Children aged 0-15: mid 2015 (excluding prisoners),Population aged 16-59: mid 2015 (excluding prisoners),Older population aged 60 and over: mid 2015 (excluding prisoners),Working age population 18-59/64: for use with Employment Deprivation Domain (excluding prisoners)
E01023184,Test Valley 009D,,13.666,7,0.031,10,0.026,10,5.399,9,-1.321,10,0.095,5,50.012,1,28.38,3,,,,,,,,,,,,,,,,,,,,,2,-0.385,21793,7,1372,226,766,380,772
E01023185,Test Valley 009E,,13.248,7,0.075,7,0.06,7,7.395,8,-0.641,8,-0.366,7,23.854,4,39.19,2,,,,,,,,,,,,,,,,,,,,,1,-0.632,25333,8,1250,231,623,396,641
E01023220,Winchester 012A,,4.787,10,0.032,10,0.025,10,6.766,8,-1.476,10,-1.276,10,25.883,4,10.79,8,,,,,,,,,,,,,,,,,,,,,7,-0.2,18662,6,2066,401,1187,478,1197
E01023221,Winchester 012B,,12.024,7,0.093,6,0.085,5,12.011,7,-0.625,8,-0.162,6,14.004,8,11.084,7,,,,,,,,,,,,,,,,,,,,,7,-0.308,20481,7,1699,274,824,601,836
E01023222,Winchester 012C,,5.601,10,0.034,10,0.032,10,0.712,10,-1.082,9,-0.085,6,23.352,4,14.636,6,,,,,,,,,,,,,,,,,,,,,5,-0.236,19267,6,1588,249,751,588,772
E01023223,Winchester 012D,,13.195,7,0.118,5,0.069,6,24.822,4,-0.522,8,-0.25,7,13.11,8,4.153,10,,,,,,,,,,,,,,,,,,,,,10,-0.342,21051,7,1534,298,804,432,819
E01023225,Winchester 004A,,14.21,7,0.038,9,0.026,10,4.36,9,-1.635,10,-0.348,7,44.353,1,48.367,1,,,,,,,,,,,,,,,,,,,,,1,0.159,12730,4,2309,456,1193,660,1170
E01023226,Winchester 010A,,2.769,10,0.04,9,0.029,10,0.913,10,-1.275,10,-1.215,10,6.238,10,15.911,6,,,,,,,,,,,,,,,,,,,,,6,0.045,14563,5,1661,378,823,460,837
E01023227,Winchester 010B,,7.963,9,0.067,7,0.055,7,7.003,8,-0.662,8,-0.602,8,16.519,7,13.82,7,,,,,,,,,,,,,,,,,,,,,8,0.402,9475,3,1922,376,1065,481,1083
E01023228,Winchester 010C,,1.92,10,0.021,10,0.028,10,0.977,10,-1.551,10,-0.684,8,9.145,9,9.692,8,,,,,,,,,,,,,,,,,,,,,10,0.308,10631,4,1994,374,975,645,1002
E01023229,Winchester 009A,,6.847,9,0.031,10,0.026,10,1.611,10,-1.393,10,-0.577,8,30.091,3,25.04,4,,,,,,,,,,,,,,,,,,,,,5,0.778,5811,2,2105,447,1086,572,1081
E01023230,Winchester 010D,,5.005,10,0.025,10,0.041,9,0.454,10,-1.821,10,-0.646,8,24.81,4,14.607,6,,,,,,,,,,,,,,,,,,,,,8,0.565,7729,3,2291,478,1152,661,1148
E01023231,Winchester 014B,,5.668,10,0.031,10,0.03,10,2.492,10,-1.364,10,-0.857,9,30.237,3,12.885,7,,,,,,,,,,,,,,,,,,,,,6,-0.302,20376,7,1729,274,927,528,947
E01023232,Winchester 014C,,11.09,8,0.093,6,0.056,7,11.948,7,-1.145,10,0.456,3,14.554,8,13.129,7,,,,,,,,,,,,,,,,,,,,,5,-0.509,23605,8,2312,418,1295,599,1307
E01023235,Winchester 011A,,11.993,7,0.053,8,0.047,8,4.575,9,-1.721,10,-0.157,6,23.203,4,50.712,1,,,,,,,,,,,,,,,,,,,,,1,0.438,9044,3,2100,348,1034,718,1075
E01023236,Winchester 002A,,16.244,6,0.03,10,0.02,10,4.877,9,-1.752,10,0.431,4,49.313,1,44.787,1,,,,,,,,,,,,,,,,,,,,,2,0.823,5467,2,1978,367,952,659,998
E01023237,Winchester 002B,,17.415,6,0.123,5,0.1,4,24.36,4,-0.267,7,-0.529,8,24.927,4,6.16,9,,,,,,,,,,,,,,,,,,,,,9,-0.179,18287,6,1396,287,789,320,805
E01023238,Winchester 002C,,2.742,10,0.022,10,0.026,10,1.857,10,-1.665,10,-0.912,9,20.801,5,5.785,9,,,,,,,,,,,,,,,,,,,,,9,-0.279,19963,7,1744,312,1080,352,1082
E01023239,Winchester 002D,,4.018,10,0.024,10,0.033,10,1.225,10,-1.354,10,-1.047,9,22.71,5,13.957,7,,,,,,,,,,,,,,,,,,,,,9,0.691,6565,2,1732,326,969,437,989
E01023240,Winchester 003A,,4.625,10,0.042,9,0.05,8,5.291,9,-1.369,10,-1.217,10,19.093,6,3.65,10,,,,,,,,,,,,,,,,,,,,,10,-0.489,23323,8,2258,452,1133,673,1129
E01023241,Winchester 003B,,7.187,9,0.051,8,0.043,9,0.846,10,-0.629,8,-1.816,10,32.957,2,4.535,10,,,,,,,,,,,,,,,,,,,,,9,-0.701,26185,8,1455,181,707,567,712
E01023242,Winchester 009B,,3.198,10,0.018,10,0.018,10,1.122,10,-1.619,10,-0.572,8,23.652,4,5.424,9,,,,,,,,,,,,,,,,,,,,,10,-0.16,17991,6,1213,223,710,280,721
E01023243,Winchester 009C,,3.816,10,0.031,10,0.018,10,4.833,9,-1.258,10,-0.707,9,18.891,6,12.643,7,,,,,,,,,,,,,,,,,,,,,6,-0.232,19191,6,1292,217,857,218,863
E01023244,Winchester 009D,,1.182,10,0.024,10,0.023,10,0.494,10,-1.25,10,-1.126,10,7.269,10,5.665,9,,,,,,,,,,,,,,,,,,,,,10,-0.209,18800,6,1542,240,699,603,713
E01023245,Winchester 013A,,10.885,8,0.05,8,0.042,9,5.458,9,-0.796,9,-0.338,7,35.959,2,25.009,4,,,,,,,,,,,,,,,,,,,,,5,0.881,4988,2,2434,356,1243,835,1264
E01023246,Winchester 010E,,9.73,8,0.043,9,0.032,10,3.323,9,-1.393,10,-1.106,10,27.991,3,45.152,1,,,,,,,,,,,,,,,,,,,,,1,0.169,12586,4,1554,277,826,451,848
E01023247,Winchester 005A,,2.917,10,0.045,9,0.035,9,0.429,10,-1.27,10,-0.875,9,10.202,9,8.338,8,,,,,,,,,,,,,,,,,,,,,10,0.117,13357,5,1562,302,728,532,741
E01023248,Winchester 003C,,1.649,10,0.015,10,0.017,10,0.323,10,-1.814,10,-1.57,10,18.647,6,4.65,10,,,,,,,,,,,,,,,,,,,,,10,-0.225,19074,6,1709,338,794,577,810
E01023249,Winchester 005B,,10.525,8,0.091,6,0.088,5,4.74,9,-0.599,8,-0.874,9,17.348,7,8.477,8,,,,,,,,,,,,,,,,,,,,,8,-0.311,20541,7,1258,227,672,359,679
E01023250,Winchester 005C,,15.026,6,0.109,5,0.095,5,19.278,5,-0.084,6,-0.43,7,11.139,9,12.448,7,,,,,,,,,,,,,,,,,,,,,7,0.04,14648,5,1769,388,938,443,942
E01023251,Winchester 006A,,22.231,4,0.161,3,0.101,4,5.653,9,0.192,5,1.013,2,18.647,6,21.76,5,,,,,,,,,,,,,,,,,,,,,4,0.107,13528,5,1291,155,729,407,733
E01023252,Winchester 007A,,13.883,7,0.086,6,0.084,5,2.044,10,-0.394,7,0.321,4,20.53,5,24.236,4,,,,,,,,,,,,,,,,,,,,,3,-0.241,19335,6,1911,192,1371,348,1395
E01023253,Winchester 003D,,9.099,8,0.06,8,0.055,8,1.685,10,-0.573,8,-0.663,8,32.173,2,6.989,9,,,,,,,,,,,,,,,,,,,,,9,-0.223,19043,6,1877,383,893,601,913
E01023254,Winchester 007B,,7.431,9,0.061,8,0.05,8,0.447,10,-1.11,10,-0.118,6,18.289,6,19.37,5,,,,,,,,,,,,,,,,,,,,,5,0.309,10622,4,1896,346,1169,381,1199
E01023255,Winchester 006B,,13.852,7,0.087,6,0.077,6,17.087,5,-0.485,8,-0.285,7,23.727,4,16.202,6,,,,,,,,,,,,,,,,,,,,,6,0.111,13478,5,1837,233,1308,296,1327
E01023256,Winchester 006C,,28.904,3,0.171,3,0.141,3,45.267,2,0.317,4,0.028,5,24.551,4,20.564,5,,,,,,,,,,,,,,,,,,,,,7,0.88,4999,2,1565,334,972,259,983
E01023257,Winchester 006D,,13.881,7,0.099,6,0.068,6,8.733,8,-0.313,7,0.354,4,20.41,5,18.601,5,,,,,,,,,,,,,,,,,,,,,5,0.271,11127,4,1544,249,942,353,956
E01023258,Winchester 006E,,19.821,5,0.092,6,0.083,5,36.804,2,-0.286,7,-0.094,6,31.82,2,20.047,5,,,,,,,,,,,,,,,,,,,,,8,1.119,3383,2,1760,389,1025,346,972
E01023259,Winchester 009E,,5.435,10,0.041,9,0.048,8,2.211,10,-0.974,9,-0.165,6,18.564,6,6.704,9,,,,,,,,,,,,,,,,,,,,,8,-0.488,23319,8,1589,290,881,418,870
